name,price,product_dimensions,description,sustainability_features,rating,number_of_reviews,product_page_url
"Ergotron -LearnFit Mobile Standing Desk, Adjustable Height Small Rolling Laptop Computer Sit Stand Desk with Wheels for Classroom, Office, Medical or Home Use -Adjusts from 29 to 45 Inches -Grey",   $449.99 with 8 percent savings    ,,"On-demand height adjustment: Easily adjust from a sitting to standing position with 16 inches of lift; ergonomic mechanism supports up to 15 pounds and adjusts smoothly through full range of motion from minimum height of 29 inches to maximum height of 45 inches Stable mobility: Premium dual-wheel casters allow for smooth, confident movement over carpeted or hard-surfaced floors; oversized casters encourage quick and seamless movement over hallway thresholds and other varied terrain; front two casters lock in place for workstation stability Room to work: 24 x 22-inch worksurface easily accommodates your laptop, notebook and other desktop essentials; maintain a comfortable and organized workspace with handy backpack hook, cup holder, tablet slot and pencil tray Dynamic flexibility: Assembles in less than a minute with no tools required; transform classrooms, conference rooms or common areas into active spaces with a personalized fit, quickly rearrange desks for productive breakout sessions and other changing needs; Storage Bin accessory (97-926-064) is perfectly sized for notebooks and folders Built to last: Extensive quality testing ensures your desk holds up to rigorous daily use; Ergotron products set the standard for quality with a 10-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.3 out of 5 stars,69 ratings,https://www.amazon.com/-/zh/dp/B01F1P3PFU/ref=sr_1_11?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-11&srs=24000582011
"Ergotron -LX Vertical Stacking Dual Monitor Arm, VESA Desk Mount -for 2 Monitors Up to 40 Inches, 7 to 22 lbs Each -Tall Pole, Matte Black",   $378.99 with 17 percent savings    ,,"Broad compatibility: Fits two screens up to 40 inches and 7 to 22 pounds each; compatible with VESA patterns 75x75mm and 100x100mm Everything you need: Includes two LX arms and extensions, 23-inch pole, heavy duty two-piece desk clamp for surface edges 0.63 to 2.6 inches thick, grommet mount plate and hardware for installation through a desktop hole, two pole collars, two caps and mounting hardware Comfortable workspace: Find your best view for each project with 13 inches of lift, rising 31.7 inches from the desktop; customize how you work or collaborate at your workstation with 360 degrees of rotation and 75 degrees of tilt Flexible working: Easily stack screens one over the other or position to either side; up your screen count and productivity with three or four displays using the LX Arm, Extension and Collar Kit accessory (98-130-224); free up more of your worksurface with thoughtful cable management Built to last: Extensive quality testing ensures your display stays stable and secure; Ergotron products set the standard for quality with a 10-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.2 out of 5 stars,"1,358 ratings",https://www.amazon.com/-/zh/dp/B09T78LQYQ/ref=sr_1_12?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036920&sr=8-12&srs=24000582011
"Rolanstar Computer Desk with 2 Drawers and Power Outlet, 47"" Home Office Writing Desk with Monitor Stand, Workstation Table with Stable Metal Frame, Rustic Brown",$108.53 ,"21.7""D x 47.2""W x 34.2""H","【Computer Desk with Power Outlet】This computer desk includes a built-in socket with 2-Outlet & 2 USB Ports for phone, pad or gaming gears. Whether you need a workstation desk in your home office or a gaming place in your bedroom, this computer desk will meet your needs. 【Ergonomic Design】This computer desk is designed with monitor stand brings your monitor to new heights and keep your sitting posture correct. 【Large Storage Capacity】The pull-out designed drawers can store your notes and paperwork, which increases hidden storage option while keeps your desktop tidy. The monitor stand provides extra storage and display area which helps you organize your desk and maximize a work place. 【Stable and Reliable】The Rolanstar office desk not only features durability and stability but also healthy environment. The metal frame and particle board ensures the stability and durability of the desk. The raw materials that meet the EPA TSCA Title VI and Carb Certification offer you a safe and healthy living environment. �?0mins Assembly & Easy Cleaning�?Comes with clear and detailed instruction, numbered parts, and a L shaped allen wrench, assembly can be done within 30mins. The board is melamine veneer, waterproof and dust free, you only need a wet rag to keep the table clean. Package also includes 4 adjustable feet pads which designed for easy leveling on uneven floors.","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.6 out of 5 stars,"1,959 ratings",https://www.amazon.com/-/zh/dp/B0936XQGD7/ref=sr_1_13?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-13&srs=24000582011
"Ergotron -WorkFit-TX Standing Desk Converter, Dual Monitor Sit Stand Ergonomic Desk Riser for Tabletops -32 Inch Width, Black",   $745.00 with 6 percent savings    ,,"Extra-large worksurface: 32 x 27-inch worksurface comfortably supports two monitors or a monitor and laptop; easily accommodate a standard keyboard and mouse on the 28 x 8-inch keyboard tray; supporting 10 to 40 pounds, this desk effortlessly holds all the essentials Easy, stable movement: Offers 20 inches of no-sway lift straight up and down and folds down to within 2 inches of desk; hand-brake lever allows for smooth, quick adjustments; keyboard and mouse tray offers 3 inches of independent height adjustment and back-tilt, can be positioned as low as 3.5 inches below worksurface for proper ergonomic spacing Instant upgrade: Reinvent office space by turning your tabletop into a dynamic sit-stand workstation, adding comfort and movement to your day; seamlessly integrate your displays with WorkFit Dual Monitor Kit (97-934), WorkFit Monitor and Laptop Kit (97-933) or WorkFit Single Monitor Kit (97-935) Out-of-box-design: Get up and moving around your workspace in minutes with no assembly, mounting or clamping required; includes desk converter, non-slip pads, cable management sleeve, cable clips and zip tie Built to last: Extensive quality testing ensures your workstation performs reliably day after day; Ergotron products set the standard for quality with a 5-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.4 out of 5 stars,51 ratings,https://www.amazon.com/-/zh/dp/B07GZJ9F4J/ref=sr_1_14?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-14&srs=24000582011
"Ergotron -LX Dual Monitor Arm, VESA Desk Mount -for 2 Monitors Up to 27 Inches, 7 to 20 lbs Each -Matte Black",$399.99 ,,"Broad compatibility: Fits two screens up to 27 inches diagonal and 7 to 20 pounds each; compatible with VESA patterns 75x75mm and 100x100mm Designed for workstation flexibility: Includes two arms, two extensions, pole, T-bracket, plus two-piece desk clamp for surface edges 0.63 to 2.6 inches thick and grommet mount that attaches through a desk surface hole up to 2 inches wide and 3 inches deep Large range of motion: Offers full monitor movement with 13 inches of lift, rising 15.6 inches from the desktop; perfect for side-by-side or low angle views; customize how you work with 360 degrees of rotation and 75 degrees of tilt Streamlined and functional: Supports multiple options for finding your best view and boosting productivity; arms fold out of the way to reclaim space for office essentials; low-profile clamp fits in tight spaces with cable management for a clean workspace Built to last: Extensive quality testing ensures your display stays stable and secure; Ergotron products set the standard for quality with a 10-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.2 out of 5 stars,375 ratings,https://www.amazon.com/-/zh/dp/B07Q1NJ15Q/ref=sr_1_15?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-15&srs=24000582011
"Ergotron -WorkFit-Z Mini Small Standing Desk Converter, Laptop Sit Stand Desk Riser for Tabletops and Home Office -31 Inch Width, Grey Woodgrain",$299.00 ,,"Compact yet functional: 31 x 21-inch worksurface comfortably supports one monitor or a laptop; accommodate a standard keyboard and mouse on the 24 x 9-inch keyboard tray; supporting up to 25 pounds, this desk holds the essentials; keep phone and tablet handy with integrated device slot Easy, stable movement: Offers 12.5 inches of no-sway lift straight up and down; hand-brake lever allows for smooth, quick adjustments; keyboard and mouse tray moves in tandem with worksurface and is positioned 4.3 inches below it, maintaining proper ergonomic spacing Instant upgrade: Reinvent tight spaces by turning your tabletop into a dynamic sit-stand workstation, adding comfort and movement to your day; work-anywhere concept fits your lifestyle; reduce fatigue with WorkFit Floor Mat (97-620-060) and Wrist Rest (97-533) Out-of-box-design: Get up and moving around your workspace in minutes with no assembly, mounting or clamping required; includes desk converter, leg covers and zip tie Built to last: Extensive quality testing ensures your workstation performs reliably day after day; Ergotron products set the standard for quality with a 2-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.6 out of 5 stars,161 ratings,https://www.amazon.com/-/zh/dp/B077NDB5PW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.xIxAMZVablHFsnuvndykAnN-PS2fdytfTMqUfQE5TqiZ6aiPvzI3fVaeNcRHlnmWj-eX2VhkjtY_XUlaeF-vCwoubphG0giRBLwLfRIfgiYVyrp-sVwIGJxSRj0Mk3RBp4dngRQuh3FmAiBhRpU5srjYZhcP2jB0NN650wnEUfuUpy0CmYbINTwKnjSYsBcLtl4IFeQNFAssw5apfgv96SdbDLOZnP5A-GswmPHgpx8.gH2Wjf3HYTjkQ7hgFhrp7zE_Gh8IE-ARB_XNsutQSFs&dib_tag=se&qid=1719036613&sr=8-16&srs=24000582011
"Humanscale Keyboard Systems: 6G Standard Mechanism - Standard 21.625"" Track",$189.95 ,,,"Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.4 out of 5 stars,,https://www.amazon.com/-/zh/dp/B06VT921YP/ref=sr_1_17?dib=eyJ2IjoiMSJ9.i8Sp2XpTCnz7rSen7r3vVDAJHRY2Seew4ffFkl93Z478GnPm7cZKidkajLl0dgcR4lTisI3bPVkx9IMOqk8hpg.FhrMfWBWBPBkNHQkfV-FvXBoJm4-DqZgq1zDq02jz4Q&dib_tag=se&qid=1719037110&sr=8-17&srs=24000582011
"Ergotron -HX Premium Heavy Duty Monitor Arm, Single Monitor VESA Desk Mount -for Flat or Slight Curved Ultrawide Monitors Up to 49 inches, 20 to 42 lbs -Standard Pivot, Matte Black",   $298.00 with 14 percent savings    ,,"Support ultrawides: To use with the Samsung 49-inch Odyssey G9, the separate accessory HX Heavy Duty Tilt Pivot (98-540-216) is required; or choose the bundled solution that includes the HX Heavy-Duty Tilt Pivot in the box (45-647-224 or 45-647-216) Broad compatibility: Fits large, single screens up to 49 inches diagonal and 20 to 42 pounds; compatible with VESA patterns 75x75mm, 100x100mm, 200x100mm and 200x200 mm; separate accessory VESA Bracket Adaptor Kit (97-759) fits larger VESA patterns Multiple mounting options: Includes arm, extension, monitor pivot, mounting hardware; two-piece desk clamp for surface edges 0.4 to 2.6 inches thick and grommet mount for installation through a surface hole Comfortable working: Offers full monitor motion with 11.5 inches of lift, screen rises 17.8 inches above your desktop; customize how you work or collaborate with 360 degrees of rotation and 75 degrees of tilt Stylish and functional: Sleek design with heavy duty capacity allows easy positioning of large monitors; low-profile clamp fits in tight spaces with cable management for a neat workspace; optional dual (97-783) and triple (98-009-026) monitor kits up your workstation- screen count and productivity Built to last: Extensive quality testing ensures your display stays stable and secure; Ergotron products set the standard for quality with a 10-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.3 out of 5 stars,"3,813 ratings",https://www.amazon.com/-/zh/dp/B08RD4FJ3Q/ref=sr_1_18?dib=eyJ2IjoiMSJ9.i8Sp2XpTCnz7rSen7r3vVDAJHRY2Seew4ffFkl93Z478GnPm7cZKidkajLl0dgcRbyylzqdNhcoBVIlUOurq996zPPFuIJjTF4wjVzwEmA4GhicWGdCig5sjbk-RZrGYQMZZ1JrVZ7crm_enueY5Ul9MRuoQPrkK06IiHCu3oeGKZI-baQ5JnLw4F8V9nkWDOygWYPFqeBCIyBWFzHSC9EPh0hFgzhsp-QgSjU9TDDE.hRj4qGIiShn_TW_tvLGxlxgsNpmLbxnJ-YIJYgK2weE&dib_tag=se&qid=1719037123&sr=8-18&srs=24000582011
"Ergotron -MXV Single Monitor Arm, VESA Desk Mount -for Monitors Up to 34 Inches, 7 to 20 lbs -Matte Black",$245.00 ,,"Broad compatibility: Fits single screens up to 34 inches diagonal and 7 to 20 pounds; compatible with VESA patterns 75x75mm and 100x100mm Fully assembled and ready to install: Includes two-piece desk clamp for panel and cubicle systems, plus freestanding tables; desk clamp attaches to desktops 0.47 to 1.25 inches thick; accessory grommet mount available (98-110) to install through a desk surface hole Comfortable working: Offers full monitor movement with 13 inches of lift, rising 18.5 inches from the worksurface; customize how you work or collaborate with 360 degrees of rotation and 180 degrees of tilt Stylish and functional: Modern V-shaped design is sleek and lightweight; low-profile clamp fits in tight spaces; creates a neat workspace with thoughtful cable management; supports a laptop instead of a monitor with an accessory Notebook Tray (50-193-200) Built to last: Extensive quality testing ensures your display stays stable and secure; Ergotron products set the standard for quality with a 10-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.4 out of 5 stars,459 ratings,https://www.amazon.com/-/zh/dp/B07TK9JN5B/ref=sr_1_19?dib=eyJ2IjoiMSJ9.i8Sp2XpTCnz7rSen7r3vVDAJHRY2Seew4ffFkl93Z478GnPm7cZKidkajLl0dgcRbyylzqdNhcoBVIlUOurq996zPPFuIJjTF4wjVzwEmA4GhicWGdCig5sjbk-RZrGYQMZZ1JrVZ7crm_enueY5Ul9MRuoQPrkK06IiHCu3oeGKZI-baQ5JnLw4F8V9nkWDOygWYPFqeBCIyBWFzHSC9EPh0hFgzhsp-QgSjU9TDDE.hRj4qGIiShn_TW_tvLGxlxgsNpmLbxnJ-YIJYgK2weE&dib_tag=se&qid=1719037135&sr=8-19&srs=24000582011
"Ergotron -MXV Single Monitor Arm, VESA Desk Mount -for Monitors Up to 34 Inches, 7 to 20 lbs -Matte Black",$245.00 ,,"Broad compatibility: Fits single screens up to 34 inches diagonal and 7 to 20 pounds; compatible with VESA patterns 75x75mm and 100x100mm Fully assembled and ready to install: Includes two-piece desk clamp for panel and cubicle systems, plus freestanding tables; desk clamp attaches to desktops 0.47 to 1.25 inches thick; accessory grommet mount available (98-110) to install through a desk surface hole Comfortable working: Offers full monitor movement with 13 inches of lift, rising 18.5 inches from the worksurface; customize how you work or collaborate with 360 degrees of rotation and 180 degrees of tilt Stylish and functional: Modern V-shaped design is sleek and lightweight; low-profile clamp fits in tight spaces; creates a neat workspace with thoughtful cable management; supports a laptop instead of a monitor with an accessory Notebook Tray (50-193-200) Built to last: Extensive quality testing ensures your display stays stable and secure; Ergotron products set the standard for quality with a 10-year warranty and expert technical support","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.4 out of 5 stars,459 ratings,https://www.amazon.com/-/zh/dp/B07TK9JN5B/ref=sr_1_19?dib=eyJ2IjoiMSJ9.i8Sp2XpTCnz7rSen7r3vVDAJHRY2Seew4ffFkl93Z478GnPm7cZKidkajLl0dgcRbyylzqdNhcoBVIlUOurq996zPPFuIJjTF4wjVzwEmA4GhicWGdCig5sjbk-RZrGYQMZZ1JrVZ7crm_enueY5Ul9MRuoQPrkK06IiHCu3oeGKZI-baQ5JnLw4F8V9nkWDOygWYPFqeBCIyBWFzHSC9EPh0hFgzhsp-QgSjU9TDDE.hRj4qGIiShn_TW_tvLGxlxgsNpmLbxnJ-YIJYgK2weE&dib_tag=se&qid=1719037135&sr=8-19&srs=24000582011
"HON Convergence Office Chair, Vinyl Seat, Black",   $236.51 with 30 percent savings    ,"26""D x 26.88""W x 39.88""H","Convergence - The ideal computer chair with a contemporary design and customizable options, making it the perfect mesh office chair supporting most user types and seating positions for the workplace, conference room or as a home office chair. All Day Comfort - This comfortable office chair features a breathable mesh back with integrated top handle and a contoured, foam padded fabric seat with a waterfall-edge to help reduce pressure points for a comfortable sit to handle long hours. Customizable Features - Ergonomic chair features Height and width adjustable armrests, synchro-tilt tension recline controls, adjustable lumbar support, seat slide adjustable depth, sturdy 5-star base and durable 360 rolling swivel wheels. Specifications - 275 lbs. Weight Capacity, Easy to Assemble, BIFMA Level 3 and Indoor Advantage Gold Certified, Backed by the HON Lifetime Warranty. For more information, please review images for full task chair dimensions. Make Your Space Work with HON - Since 1947, we believe a thoughtfully designed wok space sets the stage for better work...and a better work life. Find the right HON chair for you.","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.1 out of 5 stars,142 ratings,https://www.amazon.com/-/zh/dp/B073TXXZSC/ref=sr_1_20?dib=eyJ2IjoiMSJ9.i8Sp2XpTCnz7rSen7r3vVDAJHRY2Seew4ffFkl93Z478GnPm7cZKidkajLl0dgcRbyylzqdNhcoBVIlUOurq996zPPFuIJjTF4wjVzwEmA4GhicWGdCig5sjbk-RZrGYQMZZ1JrVZ7crm_enueY5Ul9MRuoQPrkK06IiHCu3oeGKZI-baQ5JnLw4F8V9nkWDOygWYPFqeBCIyBWFzHSC9EPh0hFgzhsp-QgSjU9TDDE.hRj4qGIiShn_TW_tvLGxlxgsNpmLbxnJ-YIJYgK2weE&dib_tag=se&qid=1719037135&sr=8-20&srs=24000582011
"Steelcase Series 1 Office Chair - Ergonomic Work Chair with Wheels for Hard Flooring - Helps Support Productivity - Weight-Activated Controls, Back Supports & Arm Support - Easy Assembly - Graphite",$540.00 ,"23.7""D x 27""W x 41.25""H","Ergonomic Chair Design: The Steelcase Series 1 work chair gives you essential ergonomics and quality at a great value, plus it boasts space efficiency and weight-activated controls Customizable Office Furniture: This chair for desks has optional 4-dimensional arm support and an adjustable headrest, plus provides additional back support for a pressure-free sit Durable Chair with Wheels: This ergonomic chair includes flexible edges and adaptive bolstering in the forearm, providing a pressure-free sit Easy-to-Assemble Study Chair: With no tools required, this chair can be put together in less than 2 minutes, so you can enjoy your new level of comfort while working Better Design, Better Comfort, Better Choice: Our high performance seating helps you do your best work; we offer a broad range of dynamic options, all backed by Steelcase research, innovation, and our unwavering standards for quality and sustainability","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",3.6 out of 5 stars,165 ratings,https://www.amazon.com/-/zh/dp/B08M42B334/ref=sr_1_21?dib=eyJ2IjoiMSJ9.i8Sp2XpTCnz7rSen7r3vVDAJHRY2Seew4ffFkl93Z478GnPm7cZKidkajLl0dgcRbyylzqdNhcoBVIlUOurq996zPPFuIJjTF4wjVzwEmA4GhicWGdCig5sjbk-RZrGYQMZZ1JrVZ7crm_enueY5Ul9MRuoQPrkK06IiHCu3oeGKZI-baQ5JnLw4F8V9nkWDOygWYPFqeBCIyBWFzHSC9EPh0hFgzhsp-QgSjU9TDDE.hRj4qGIiShn_TW_tvLGxlxgsNpmLbxnJ-YIJYgK2weE&dib_tag=se&qid=1719037135&sr=8-21&srs=24000582011
"Rolanstar End Table with Charging Station, Nightstand with 3 Storage Shelves, Narrow Side Table with USB Ports & Power Outlets, Small Sofa Table for Living Room or Bedroom, Rustic Brown",   $31.99 with 30 percent savings    ,"11.8""D x 13.4""W x 22.8""H","Sofa/ Bed Side Table with Charging Station: 2 standard plug outlets & 2 USB ports with 6.5 ft long power supply cord, which help you charge your phone, tablet, lamp, and game console at the same time Space-Saving & Capacity: 13.4"" W x 11.8"" D x 22.8"" H , and 3-tier design saves more space. With a top load of 70 pounds, a middle and bottom load of 45 pounds. It can be used as a drink table, coffee table, snack tables, sofa side table, side table, entrance table, hallway table or bedside tables in bedrooms, living room Versatile & Convenient End Table: Top/ middle/bottom shelf can put candles, remote controls, reading materials, and a favorite decor. Farmhouse end table for small spaces are practical and stylish and can be integrated with your existing style Stable Metal Frame & Adjustable Pads: The side end table with storage shelves made of particle board and metal frame, which not only provides farmhouse and industrial looks, but also ensures durability and stability. 4 adjustable feet pads can protect your floor from scratches and enhance stability on uneven surfaces efficiently 20 Minutes Assemble & Easy Cleaning: Clear and detailed instructions, all labeled parts, and necessary tools are included, just following the easy to understand and finishing the assemble quickly within 20 minutes. The nightstand can easily be cleaned with a wet rag","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.6 out of 5 stars,"2,468 ratings",https://www.amazon.com/-/zh/dp/B09W9KJL78/ref=sr_1_22?dib=eyJ2IjoiMSJ9.i8Sp2XpTCnz7rSen7r3vVDAJHRY2Seew4ffFkl93Z478GnPm7cZKidkajLl0dgcRbyylzqdNhcoBVIlUOurq996zPPFuIJjTF4wjVzwEmA4GhicWGdCig5sjbk-RZrGYQMZZ1JrVZ7crm_enueY5Ul9MRuoQPrkK06IiHCu3oeGKZI-baQ5JnLw4F8V9nkWDOygWYPFqeBCIyBWFzHSC9EPh0hFgzhsp-QgSjU9TDDE.hRj4qGIiShn_TW_tvLGxlxgsNpmLbxnJ-YIJYgK2weE&dib_tag=se&qid=1719037135&sr=8-22&srs=24000582011
"Steelcase Series 2 Office Chair - Ergonomic Work Chair with Wheels for Hard Flooring - with Back Support, Weight-Activated Adjustment & Arm Support - Adjustable Rolling Chairs for Desk - Licorice",$772.00 ,"22""D x 27""W x 42.5""H","100% Polyester High-Performing Office Chair: The Steelcase Series 2 chair is a high-performing task chair that you can personalize with extensive style choices Personalizable Ergonomic Chairs: Offering Air LiveBack technology to encourage movement and support posture, this rolling desk chair provides adjustable, flexible lumbar support Supportive Office Furniture: A weight-activated mechanism takes the guesswork out of sitting and automatically responds to your body weight; anyone can sit down and get comfortable quickly with the comfort dial Strong & Reliable Chairs for Desk: This sturdy chair has wheels for hard flooring and provides all-day comfort and back support, so you can use it 24/7 while providing maximum comfort Better Design, Better Comfort, Better Choice: Our high performance seating helps you do your best work; we offer a broad range of dynamic options, all backed by Steelcase research, innovation, and our unwavering standards for quality and sustainability","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",3.4 out of 5 stars,261 ratings,https://www.amazon.com/-/zh/dp/B08L8J5Q9K/ref=sr_1_23?dib=eyJ2IjoiMSJ9.i8Sp2XpTCnz7rSen7r3vVDAJHRY2Seew4ffFkl93Z478GnPm7cZKidkajLl0dgcRbyylzqdNhcoBVIlUOurq996zPPFuIJjTF4wjVzwEmA4GhicWGdCig5sjbk-RZrGYQMZZ1JrVZ7crm_enueY5Ul9MRuoQPrkK06IiHCu3oeGKZI-baQ5JnLw4F8V9nkWDOygWYPFqeBCIyBWFzHSC9EPh0hFgzhsp-QgSjU9TDDE.hRj4qGIiShn_TW_tvLGxlxgsNpmLbxnJ-YIJYgK2weE&dib_tag=se&qid=1719037135&sr=8-23&srs=24000582011
"Ergotron -HX Dual Monitor Arm, VESA Desk Mount -for 2 Monitors Up to 32 Inches, 5 to 17.5 lbs Each -Matte Black",$585.00 ,,"Broad compatibility: Fits two screens up to 32 inches diagonal and 5 to 17.5 pounds each; compatible with VESA patterns 75x75mm and 100x100mm Multiple mounting options: Includes arm, extension, hinge bow, two monitor pivots, handle, two-piece desk clamp for surface edges 0.6 to 2.6 inches thick and grommet mount that attaches through a desk surface hole Improved comfort: With 11.5 inches of lift, easily raise your monitors up to 20.6 inches above the desktop; be your most productive self for each project with 360 degrees of rotation and 75 degrees of tilt Dual-monitor ergonomics: Hinged bow allows monitors to fold outward, ideal for screen sharing and collaborative spaces; fine tune your view by independently adjusting rotation, pan, and tilt for each monitor; up your screen count and productivity by adding an HX Triple Monitor Bow Kit accessory (98-009-026) Professional-grade quality: Extensive testing guarantees your displays stay stable and secure; backed with a 10-year warranty and expert tech support, Ergotron- products are built to last","Worker well-being
Manufactured on farms or in facilities that protect the rights and/or health of workers.
As certified by
BIFMA LEVEL   BIFMA LEVEL   BIFMA LEVEL",4.1 out of 5 stars,110 ratings,https://www.amazon.com/-/zh/dp/B08RD4Z2J2/ref=sr_1_24?dib=eyJ2IjoiMSJ9.i8Sp2XpTCnz7rSen7r3vVDAJHRY2Seew4ffFkl93Z478GnPm7cZKidkajLl0dgcRbyylzqdNhcoBVIlUOurq996zPPFuIJjTF4wjVzwEmA4GhicWGdCig5sjbk-RZrGYQMZZ1JrVZ7crm_enueY5Ul9MRuoQPrkK06IiHCu3oeGKZI-baQ5JnLw4F8V9nkWDOygWYPFqeBCIyBWFzHSC9EPh0hFgzhsp-QgSjU9TDDE.hRj4qGIiShn_TW_tvLGxlxgsNpmLbxnJ-YIJYgK2weE&dib_tag=se&qid=1719037135&sr=8-24&srs=24000582011
